domain,agency,status,hsts,max_age,expire_time,csp,x_content_type_options,security_txt
war-on-pineapple.com,"Department of Homeland Security",500,false,-1,-1,false,false,false
waterqualitydata.us,"Department of Interior",301,true,31536000,1729066702445,true,true,false
vetmedinfo.org,"Health and Human Services (HHS)",500,false,-1,-1,false,false,false
veteranshealthlibrary.org,"",500,false,-1,-1,false,false,false
voatour.com,"U.S. Agency for Global Media",301,false,-1,-1,true,false,false
voanews.com,"U.S. Agency for Global Media",301,true,31536000,1729066702445,true,true,true
veteranscrisisline.net,"Department of Veterans Affairs (VA)",301,true,63072000,1729098238445,false,true,false
usu.edu/beetle,"U.S. Forest Service (USFS)",301,false,-1,-1,undefined,false,false
vasc.org/erc,"National Aeronautics and Space Administration",404,false,-1,-1,undefined,false,false
ustraveldocs.com,"Department of State (DOS)",200,false,-1,-1,false,false,false
usps.com,"U.S. Postal Service",301,true,31536000,1729066702445,true,true,false
usna.edu,"United States Naval Academy",302,true,31536000,1729066702445,false,false,false
usmma.edu,"United States Merchant Marine Academy",500,false,-1,-1,false,true,true
usmc-mccs.org,"U.S. Marine Corps",302,false,-1,-1,false,true,false
usma.edu,"Department of the Army",500,false,-1,-1,false,false,false
usembassy-china.org.cn,"Department of State (DOS)",500,false,-1,-1,false,false,false
usuhs.edu,"Uniformed Services University of the Health Services",301,false,-1,-1,true,true,false
usmcu.edu,"Marine Corps University",500,false,-1,-1,false,true,false
usda.mannlib.cornell.edu,"Department of Agriculture (USDA)",301,false,-1,-1,false,true,false
uscgnews.com,"U.S. Coast Guard",301,false,-1,-1,false,false,false
uscgboating.org,"U.S. Coast Guard",200,false,-1,-1,false,false,false
uscgaux.info,"U.S. Coast Guard Auxiliary",200,false,-1,-1,false,false,false
usdirectexpress.com,"Bureau of Fiscal Service",500,false,-1,-1,false,true,false
uscgalaska.com,"U.S. Coast Guard",500,false,-1,-1,false,false,false
usarmyjrotc.com,"Department of the Army",500,false,-1,-1,false,false,false
usarmymars.org,"US Army Network Enterprise Technology Command",200,false,-1,-1,false,false,false
uscga.edu,"U.S. Coast Guard",200,false,-1,-1,false,true,false
us-mission.ch,"Department of State (DOS)",500,false,-1,-1,false,false,false
tvaed.com,"Tennessee Valley Authority",302,true,31536000,1729066702445,undefined,false,false
tvars.com,"Tennessee Valley Authority",200,false,-1,-1,false,false,false
tva.com,"Tennessee Valley Authority",302,true,31536000,1729066702445,undefined,false,false
usafa.edu,"Department of the Air Force",500,false,-1,-1,false,false,false
trumanlibrary.org,"National Archives and Records Administration (NARA)",302,true,31536000,1729066702445,false,true,false
todaysmilitary.com,"Department of Defense",302,false,-1,-1,false,true,false
tnregionalcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
theshoalscfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
trainex.org,"Environmental Protection Agency (EPA)",200,true,31536000,1729066702445,true,false,false
t2health.org,"Department of Defense",500,false,-1,-1,false,false,false
todaysdocument.tumblr.com,"National Archives and Records Administration (NARA)",200,true,15552001,1729050718446,false,true,false
suncoastcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
thecommunityguide.org,"Department of Health and Human Services",200,true,31536000,1729066702445,false,false,false
suicidepreventionlifeline.org,"Substance Abuse and Mental Health Services Administration",301,false,-1,-1,false,false,false
southwestfloridacfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
socalcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
stripes.com,"Department of Defense",301,false,-1,-1,false,false,false
smokymountaincfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
smokeybear.com,"U.S. Forest Service (USFS)",200,true,31536000,1729066702445,false,false,false
smithsonianscience.org,"Smithsonian Institution",500,false,-1,-1,false,false,false
spaceappschallenge.org,"National Aeronautics and Space Administration (NASA)",302,true,2592000,1729037758445,false,false,false
smithsonianstore.com,"Smithsonian Institution",301,true,300,1729035166745,false,true,false
smithsonianjourneys.org,"Smithsonian Institution",301,false,-1,-1,undefined,false,false
smithsonianmag.com,"Smithsonian Institution",301,false,-1,-1,false,true,false
smithsonianeducation.org,"Smithsonian Institution",200,false,-1,-1,false,false,false
smithsonian.org,"Smithsonian Institution",500,false,-1,-1,true,true,false
si.edu,"Smithsonian Institution",301,false,-1,-1,true,true,false
sftool.ecomedes.com,"General Services Administration (GSA)",403,false,-1,-1,undefined,false,false
sepa-lehighcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
senccfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
smithsonian.com,"Smithsonian Institution",200,false,-1,-1,false,true,false
sanangelocfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
rockymountaincfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
richmondfed.org,"Federal Reserve Board",500,false,-1,-1,false,false,false
scportal.us,"Department of Defense",302,false,-1,-1,false,false,false
riandsemacfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
rferl.org,"U.S. Agency for Global Media",301,true,31536000,1729066702445,false,true,true
rfa.org,"U.S. Agency for Global Media",301,true,31536000,1729066702445,false,false,false
smithsonianchannel.com,"Smithsonian Institution",301,true,31536000,1729066702445,false,true,false
rewardsforjustice.net,"Department of State (DOS)",200,true,31536000,1729066702445,false,false,false
radiosawa.com,"U.S. Agency for Global Media",301,true,31536000,1729066702445,false,true,false
r3coastal.com,"Federal Emergency Management Agency (FEMA)",500,false,-1,-1,false,false,false
realwarriors.net,"Department of Defense",301,false,-1,-1,false,true,false
psoppc.net,"Department of Health and Human Services (HHS)",500,false,-1,-1,false,false,false
psoppc.com,"Department of Health and Human Services (HHS)",500,false,-1,-1,false,false,false
psoppc.org,"Department of Health and Human Services (HHS)",200,true,63072000,1729098238445,false,false,false
psctool.us,"Department of Defense",200,true,16000000,1729051166445,false,false,false
potomaccfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
phpartners.org,"Employment and Training Administration",500,false,-1,-1,false,false,false
project-open-data.github.io,"General Services Administration (GSA)",301,false,-1,-1,false,true,false
pepfar.net,"Department of State (DOS)",500,false,-1,-1,false,false,false
peakcfc.com,"Combined Federal Campaign",500,false,-1,-1,false,false,false
pbgc.org,"Pension Benefit Guarantee Corporation (PBGC)",301,true,31536000,1729066702445,false,true,false
philadelphiafed.org,"Federal Reserve Board",500,false,-1,-1,true,true,false
reirs.com,"Nuclear Regulatory Commission",200,true,31536000,1729066702445,false,false,false
pacificnwcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
pantex.com,"Department of Energy (DOE)",500,false,-1,-1,false,true,false
ownyourlimits.org,"Department of Defense",200,false,-1,-1,false,false,false
orvcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
pancanal.com,"Autoridad del Canal de Panama/Panama Canal Authority",200,true,31536000,1729066702445,true,true,false
onslowcountycfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
oup.org,"Department of Housing and Urban Development",301,false,-1,-1,false,true,false
onecpd.info,"Department of Housing and Urban Development",301,true,31536000,1729066702445,true,true,false
okaloosa-waltoncfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
onetonline.org,"Employment and Training Administration",301,true,63072000,1729098238445,false,false,false
nyccfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
nutmegcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
nps.edu,"Naval Postgraduate School",200,true,31536000,1729066702445,false,true,false
nsopw.org,"Department of Justice (DOJ)",302,false,-1,-1,false,true,false
northernnewenglandcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
northernlightscfc.org,"Combined Federal Campaign",301,false,-1,-1,false,true,false
northcoastcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
norcalcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
northwestfloridacfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
noradsanta.org,"North American Aerospace Defense Command (NORAD)",302,false,-1,-1,false,false,false
newmexicocfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
newyorkfed.org,"Federal Reserve Board",500,false,-1,-1,false,false,false
nevadacfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
nepacfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
newhire-reporting.com,"Administration for Children and Families",302,true,31536000,1729066702445,false,true,false
opengovplatform.org,"General Services Administration (GSA)",301,false,-1,-1,false,false,false
necfuture.com,"Federal Railroad Administration",301,false,-1,-1,false,true,false
nefl-sega-cfc.org,"Combined Federal Campaign",301,false,-1,-1,false,false,false
ncwvcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
neabigread.org,"National Endowment for the Arts (NEA)",301,false,-1,-1,false,false,false
ndu.edu,"National Defense University (NDU)",500,false,-1,-1,false,true,false
navyreserve.com,"Department of the Navy",301,true,31536000,1729066702445,false,true,false
nationalguard.com,"U.S. National Guard",200,true,31536000,1729066702445,false,true,false
nationalatlas.org,"Department of Interior (DOI)",500,false,-1,-1,false,false,false
navy.com,"Department of the Navy",301,true,31536000,1729066702445,false,true,false
nagb.org,"National Assessment Governing Board",301,true,63072000,1729098238445,false,true,false
nasa-usa.de,"National Aeronautical and Space Administration (NASA)",500,false,-1,-1,false,false,false
mynextmove.org,"Employment and Training Administration",301,true,63072000,1729098238445,false,false,false
myskillsmyfuture.org,"Employment and Training Administration",301,false,-1,-1,false,true,false
myfuture.com,"Department of Defense (DOD)",200,true,15552000,1729050718445,false,false,false
mymcx.com,"U.S. Marine Corps",302,false,-1,-1,false,true,false
myedaccount.com,"Department of Education (ED)",200,false,-1,-1,false,false,false
nationalatlas.com,"Department of Interior (DOI)",500,false,-1,-1,false,false,false
moneyfactory.com,"Bureau of Engraving and Printing",301,false,-1,-1,false,false,false
midlandsareacfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
michcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
micanaldepanama.com,"Autoridad del Canal de Panama/Panama Canal Authority",301,false,-1,-1,true,true,false
miamivalleycfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
metrodenvercfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
mdacareers.com,"Missile Defense Agency",500,false,-1,-1,false,false,false
mcmregistration.com,"U.S. Marine Corps (USMC)",200,false,-1,-1,false,false,false
minneapolisfed.org,"Federal Reserve Board",500,false,-1,-1,false,false,false
martinoticias.com,"U.S. Agency for Global Media",301,true,31536000,1729066702445,false,true,true
marines.com,"U.S. Marine Corps (USMC)",301,true,58099000,1729093265445,true,true,false
marinemarathon.com,"U.S. Marine Corps (USMC)",301,false,-1,-1,false,false,false
moon-cal.org,"U.S. Geological Survey (USGS)",500,false,-1,-1,false,false,false
marineforlife.org,"U.S. Marine Corps (USMC)",302,false,-1,-1,false,true,false
maricopacfc.org,"Combined Federal Campaign",301,false,-1,-1,false,false,false
marshallcenter.org,"George C. Marshall European Center for Security Studies",500,false,-1,-1,false,false,false
livingmemorialsproject.net,"U.S. Forest Service (USFS)",301,false,-1,-1,false,false,false
literacydirectory.org,"Department of Education (ED)",301,false,-1,-1,false,false,false
lifeasamarine.com,"U.S. Marine Corps (USMC)",500,false,-1,-1,false,false,false
manufacturingusa.com,"National Institute of Standards and Technology",500,false,-1,-1,true,true,false
leopold.wilderness.net,"U.S. Forest Service (USFS)",200,true,31536000,1729066702445,false,false,false
ktcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
makersinspaces.org,"Department of State",500,false,-1,-1,false,false,false
knowyouroptions.com,"Federal National Mortgage Association",301,true,15552000,1729050718445,false,true,false
kansascfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
johnsoncity-mountainhomecfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
lbjlibrary.org,"National Archives and Records Administration (NARA)",200,false,-1,-1,false,false,false
kcp.com,"Department of Energy (DOE)",500,false,-1,-1,false,true,false
jfklibrary.org,"National Archives and Records Administration (NARA)",301,false,-1,-1,false,true,false
jlab.org,"Department of Energy (DOE)",301,true,63072000,1729098238445,false,true,false
inwcfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
jamrs.org,"Department of Defense (DOD)",301,false,-1,-1,false,true,false
informationrx.org,"Health and Human Services (HHS)",500,false,-1,-1,false,false,false
illowacfc.org,"Combined Federal Campaign",500,false,-1,-1,false,false,false
