domain,agency,status,redirect,valid,sitemap,allowed
cmts.gov,"Department of Defense",200,"https://www.cmts.gov/",false,"null",false
cnss.gov,"Department of Defense",500,"null",false,"null",false
ctoc.gov,"Department of Defense",500,"null",false,"null",false
ntis.gov,"Department of Commerce",500,"null",false,"null",false
dc3on.gov,"Department of Defense",500,"null",false,"null",false
cttso.gov,"Department of Defense",404,"https://cttso.gov/robots.txt",false,"null",false
defense.gov,"Department of Defense",200,"https://www.defense.gov/robots.txt",true,"https://defense.gov/DesktopModules/SiteData/SiteMap.ashx",true
fvap.gov,"Department of Defense",404,"https://www.fvap.gov/robots.txt",false,"null",false
spd15revision.gov,"Department of Commerce",500,"null",false,"null",false
iad.gov,"Department of Defense",500,"null",false,"null",false
intelligencecareers.gov,"Department of Defense",500,"null",false,"null",false
ioss.gov,"Department of Defense",500,"null",false,"null",false
itc.gov,"Department of Defense",500,"null",false,"null",false
iwtsd.gov,"Department of Defense",404,"https://iwtsd.gov/robots.txt",false,"null",false
jccs.gov,"Department of Defense",500,"null",false,"null",false
lps.gov,"Department of Defense",500,"null",false,"null",false
mtmc.gov,"Department of Defense",500,"null",false,"null",false
uspto.gov,"Department of Commerce",500,"null",false,"null",false
nationalresourcedirectory.gov,"Department of Defense",404,"http://nationalresourcedirectory.gov/robots.txt",false,"null",false
nbib.gov,"Department of Defense",200,"https://www.dcsa.mil/",false,"null",false
nrd.gov,"Department of Defense",404,"http://nrd.gov/robots.txt",false,"null",false
nro.gov,"Department of Defense",500,"null",false,"null",false
nsa.gov,"Department of Defense",200,"https://www.nsa.gov/robots.txt",true,"https://nsa.gov/DesktopModules/SiteData/SiteMap.ashx",true
cap.gov,"Department of Defense",500,"null",false,"null",false
oea.gov,"Department of Defense",500,"null",false,"null",false
fehrm.gov,"Department of Defense",500,"null",false,"null",false
oneaftac.gov,"Department of Defense",500,"null",false,"null",false
mypay.gov,"Department of Defense",500,"null",false,"null",false
tak.gov,"Department of Defense",421,"https://tak.gov/robots.txt",false,"null",false
tswg.gov,"Department of Defense",404,"https://tswg.gov/robots.txt",false,"null",false
hive.gov,"Department of Defense",500,"null",false,"null",false
usandc.gov,"Department of Defense",500,"null",false,"null",false
childstats.gov,"Department of Education",404,"https://www.childstats.gov/robots.txt",false,"null",false
collegenavigator.gov,"Department of Education",200,"https://nces.ed.gov/collegenavigator/",false,"null",false
ed.gov,"Department of Education",200,"https://www.ed.gov/robots.txt",true,"null",true
fafsa.gov,"Department of Education",200,"https://studentaid.gov/h/apply-for-aid/fafsa",false,"null",false
nagb.gov,"Department of Education",200,"https://www.nagb.gov/robots.txt",true,"https://www.nagb.gov/sitemap.xml",true
g5.gov,"Department of Education",200,"https://g5.gov/robots.txt",false,"null",false
studentaid.gov,"Department of Education",200,"https://studentaid.gov/robots.txt",true,"https://studentaid.gov/sitemap.xml",true
budgetlob.gov,"Department of Education",500,"null",false,"null",false
ameslab.gov,"Department of Energy",500,"null",false,"null",false
nationsreportcard.gov,"Department of Education",404,"https://www.nationsreportcard.gov/robots.txt",false,"null",false
anl.gov,"Department of Energy",500,"null",false,"null",false
arm.gov,"Department of Energy",200,"https://arm.gov/robots.txt",true,"null",true
bnl.gov,"Department of Energy",200,"https://www.bnl.gov/world/",false,"null",false
bpa.gov,"Department of Energy",200,"https://www.bpa.gov/robots.txt",true,"null",true
nsep.gov,"Department of Defense",500,"null",false,"null",false
buildingamerica.gov,"Department of Energy",500,"null",false,"null",false
casl.gov,"Department of Energy",500,"null",false,"null",false
cebaf.gov,"Department of Energy",500,"null",false,"null",false
citap.gov,"Department of Energy",404,"https://citap.gov/robots.txt",false,"null",false
cendi.gov,"Department of Energy",404,"https://cendi.gov/robots.txt",false,"null",false
driveelectric.gov,"Department of Energy",200,"https://driveelectric.gov/robots.txt",true,"null",true
doe.gov,"Department of Energy",403,"https://www.energy.gov/robots.txt",false,"null",false
energy.gov,"Department of Energy",403,"https://www.energy.gov/robots.txt",false,"null",false
oldcc.gov,"Department of Defense",500,"null",false,"null",false
energycommunities.gov,"Department of Energy",200,"http://energycommunities.gov/robots.txt",true,"https://energycommunities.gov/sitemap_index.xml",true
energycodes.gov,"Department of Energy",200,"https://www.energycodes.gov/robots.txt",true,"null",true
energysavers.gov,"Department of Energy",403,"https://www.energy.gov/energysaver/energy-saver",false,"null",false
fnal.gov,"Department of Energy",200,"https://fnal.gov/robots.txt",true,"null",true
fueleconomy.gov,"Department of Energy",200,"https://fueleconomy.gov/robots.txt",true,"null",true
hanford.gov,"Department of Energy",404,"https://hanford.gov/robots.txt",false,"null",false
homeenergyscore.gov,"Department of Energy",500,"null",false,"null",false
studentloans.gov,"Department of Education",500,"null",false,"null",false
inel.gov,"Department of Energy",500,"null",false,"null",false
biomassboard.gov,"Department of Energy",500,"null",false,"null",false
inl.gov,"Department of Energy",200,"https://inl.gov/robots.txt",true,"https://inl.gov/sitemap_index.xml",true
isotopes.gov,"Department of Energy",200,"https://isotopes.gov/robots.txt",true,"null",true
lanl.gov,"Department of Energy",500,"null",false,"null",false
lbl.gov,"Department of Energy",200,"https://www.lbl.gov/robots.txt",true,"null",true
llnl.gov,"Department of Energy",200,"https://www.llnl.gov/",false,"null",false
nccs.gov,"Department of Energy",500,"null",false,"null",false
ncrc.gov,"Department of Energy",500,"null",false,"null",false
nersc.gov,"Department of Energy",404,"https://www.nersc.gov/robots.txt",false,"null",false
neup.gov,"Department of Energy",500,"null",false,"null",false
eia.gov,"Department of Energy",500,"null",false,"null",false
nnss.gov,"Department of Energy",200,"https://nnss.gov/robots.txt",true,"https://nnss.gov/sitemap_index.xml",true
nrelhub.gov,"Department of Energy",500,"null",false,"null",false
nrel.gov,"Department of Energy",404,"https://www.nrel.gov/robots.txt",false,"null",false
energysaver.gov,"Department of Energy",500,"null",false,"null",false
ntrc.gov,"Department of Energy",500,"null",false,"null",false
orau.gov,"Department of Energy",200,"https://orau.gov/robots.txt",true,"http://orise.orau.gov/nsf-msgi/sitemap.xml",true
ornl.gov,"Department of Energy",200,"https://www.ornl.gov/robots.txt",true,"null",true
pcast.gov,"Department of Energy",500,"null",false,"null",false
osti.gov,"Department of Energy",200,"https://www.osti.gov/robots.txt",true,"https://www.osti.gov/sitemap_ostigov.xml",true
pnl.gov,"Department of Energy",200,"https://www.pnnl.gov/",false,"null",false
pnnl.gov,"Department of Energy",200,"https://www.pnnl.gov/",false,"null",false
pppo.gov,"Department of Energy",500,"null",false,"null",false
pr100.gov,"Department of Energy",200,"https://pr100.gov/robots.txt",false,"null",false
hydrogen.gov,"Department of Energy",500,"null",false,"null",false
rideelectric.gov,"Department of Energy",200,"https://driveelectric.gov/ride",false,"null",false
rl.gov,"Department of Energy",500,"null",false,"null",false
sandia.gov,"Department of Energy",200,"https://www.sandia.gov/robots.txt",true,"https://www.sandia.gov/wp-sitemap.xml",true
scidac.gov,"Department of Energy",200,"https://scidac.gov/robots.txt",true,"null",true
science.gov,"Department of Energy",200,"https://www.science.gov/robots.txt",true,"null",true
smartgrid.gov,"Department of Energy",404,"https://smartgrid.gov/robots.txt",false,"null",false
sns.gov,"Department of Energy",200,"https://sns.gov/robots.txt",true,"null",true
solardecathlon.gov,"Department of Energy",500,"null",false,"null",false
srnl.gov,"Department of Energy",200,"https://www.srnl.gov/robots.txt",true,"https://www.srnl.gov/sitemap_index.xml",true
srs.gov,"Department of Energy",500,"null",false,"null",false
isotope.gov,"Department of Energy",500,"null",false,"null",false
unnpp.gov,"Department of Energy",500,"null",false,"null",false
nuclear.gov,"Department of Energy",500,"null",false,"null",false
pppl.gov,"Department of Energy",500,"null",false,"null",false
ymp.gov,"Department of Energy",500,"null",false,"null",false
988.gov,"Department of Health and Human Services",200,"https://988lifeline.org/robots.txt",true,"null",true
acf.gov,"Department of Health and Human Services",500,"null",false,"null",false
safgrandchallenge.gov,"Department of Energy",500,"null",false,"null",false
acl.gov,"Department of Health and Human Services",200,"https://acl.gov/robots.txt",true,"null",true
aging.gov,"Department of Health and Human Services",500,"null",false,"null",false
agingstats.gov,"Department of Health and Human Services",500,"null",false,"null",false
ahcpr.gov,"Department of Health and Human Services",200,"https://www.ahrq.gov/robots.txt",true,"null",true
ahrq.gov,"Department of Health and Human Services",200,"https://www.ahrq.gov/robots.txt",true,"null",true
aids.gov,"Department of Health and Human Services",200,"https://www.hiv.gov/robots.txt",true,"https://www.hiv.gov/sitemap-index.xml",true
swpa.gov,"Department of Energy",500,"null",false,"null",false
alzheimers.gov,"Department of Health and Human Services",403,"https://www.alzheimers.gov/robots.txt",false,"null",false
unrpnet.gov,"Department of Energy",500,"null",false,"null",false
arpa-h.gov,"Department of Health and Human Services",200,"http://arpa-h.gov/robots.txt",true,"null",true
arpah.gov,"Department of Health and Human Services",500,"null",false,"null",false
bam.gov,"Department of Health and Human Services",500,"null",false,"null",false
aspr.gov,"Department of Health and Human Services",200,"https://aspr.hhs.gov/robots.txt",true,"https://aspr.hhs.gov:443/sitemap.xml",true
aoa.gov,"Department of Health and Human Services",500,"null",false,"null",false
betobaccofree.gov,"Department of Health and Human Services",200,"https://betobaccofree.hhs.gov/robots.txt",true,"https://betobaccofree.hhs.gov/sitemap.xml",true
birthcontrol.gov,"Department of Health and Human Services",200,"https://reproductivehealthservices.gov/robots.txt",false,"null",false
brain.gov,"Department of Health and Human Services",200,"https://braininitiative.nih.gov/robots.txt",true,"null",true
cancer.gov,"Department of Health and Human Services",200,"https://www.cancer.gov/robots.txt",true,"null",true
cdc.gov,"Department of Health and Human Services",200,"https://www.cdc.gov/robots.txt",true,"https://www.cdc.gov/wcms-auto-sitemap-index.xml",true
